Student_ID,Name,Gender,Date_of_Birth,Course,Department,CGPA
STU2026065,Harsh,Female,12-06-2004,B.Sc IT,Information Technology,7.9
STU2026066,Isha,Male,13-07-2005,BCA,Computer Applications,9.2
STU2026067,Ishaan,Female,14-08-2006,BCA (Hons.),Computer Applications,6.9
STU2026068,Jatin,Male,15-09-2003,BBA,Management,8.2
STU2026069,Karan,Female,16-10-2004,B.Tech CSE,Computer Science,9.5
STU2026070,Kavya,Male,17-11-2005,B.Sc IT,Information Technology,7.2
STU2026071,Krish,Female,18-12-2006,BCA,Computer Applications,8.5
STU2026072,Kritika,Male,19-01-2003,BCA (Hons.),Computer Applications,6.2
STU2026073,Manav,Female,20-02-2004,BBA,Management,7.5
STU2026074,Meera,Male,21-03-2005,B.Tech CSE,Computer Science,8.8
STU2026075,Mohit,Female,22-04-2006,B.Sc IT,Information Technology,6.5
STU2026076,Naina,Male,23-05-2003,BCA,Computer Applications,7.8
STU2026077,Naman,Female,24-06-2004,BCA (Hons.),Computer Applications,9.1
STU2026078,Neha,Male,25-07-2005,BBA,Management,6.8
STU2026079,Nikhil,Female,26-08-2006,B.Tech CSE,Computer Science,8.1
STU2026080,Nisha,Male,27-09-2003,B.Sc IT,Information Technology,9.4
STU2026081,Om,Female,01-10-2004,BCA,Computer Applications,7.1
STU2026082,Pallavi,Male,02-11-2005,BCA (Hons.),Computer Applications,8.4
STU2026083,Parth,Female,03-12-2006,BBA,Management,9.7
STU2026084,Pooja,Male,04-01-2003,B.Tech CSE,Computer Science,7.4
STU2026085,Pranav,Female,05-02-2004,B.Sc IT,Information Technology,8.7
STU2026086,Priya,Male,06-03-2005,BCA,Computer Applications,6.4
STU2026087,Rahul,Female,07-04-2006,BCA (Hons.),Computer Applications,7.7
STU2026088,Riya,Male,08-05-2003,BBA,Management,9
STU2026089,Rohan,Female,09-06-2004,B.Tech CSE,Computer Science,6.7
STU2026090,Sakshi,Male,10-07-2005,B.Sc IT,Information Technology,8
STU2026091,Samarth,Female,11-08-2006,BCA,Computer Applications,9.3
STU2026092,Sanya,Male,12-09-2003,BCA (Hons.),Computer Applications,7
STU2026093,Shivam,Female,13-10-2004,BBA,Management,8.3
STU2026094,Shruti,Male,14-11-2005,B.Tech CSE,Computer Science,9.6
STU2026095,Siddharth,Female,15-12-2006,B.Sc IT,Information Technology,7.3
STU2026096,Simran,Male,16-01-2003,BCA,Computer Applications,8.6
STU2026097,Tanmay,Female,17-02-2004,BCA (Hons.),Computer Applications,6.3
STU2026098,Tanya,Male,18-03-2005,BBA,Management,7.6
STU2026099,Varun,Female,19-04-2006,B.Tech CSE,Computer Science,8.9
STU2026100,Vansh,Male,20-05-2003,B.Sc IT,Information Technology,6.6
